Date,Open,High,Low,Close,Adj Close,Volume,GDP,Balance of trade ,Total Population,Total cases,Total deaths,People Vaccinated,Uncertainty index,MYR/USD,Unemployment rate,Inflation rate,Interest rate ,FTSE Bursa Malaysia KLCI,WTI Crude Oil,Brent Crude Oil
08-08-2019,8.6,8.65,8.55,8.63,8.326107,64200,361300000000,10896400000,31949777,0,0,0,0.0000000,0.237869,0.033,0.002,0.0295,1616.02002,52.6,56.29
09-08-2019,8.65,8.7,8.62,8.64,8.335756,12200,361300000000,10896400000,31949777,0,0,0,0.0000000,0.239086,0.033,0.002,0.03,1615.050049,54.41,57.37
13-08-2019,8.6,8.6,8.49,8.49,8.191036,171300,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238129,0.033,0.002,0.03,1592.880005,57.05,59.9
14-08-2019,8.5,8.51,8.4,8.41,8.113853,38600,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238949,0.033,0.002,0.0294,1600.310059,55.16,57.86
15-08-2019,8.4,8.4,8.38,8.4,8.104207,168700,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238806,0.033,0.002,0.03,1600.290039,54.51,57.37
16-08-2019,8.4,8.45,8.35,8.45,8.152446,218000,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238692,0.033,0.002,0.03,1599.219971,54.83,59
19-08-2019,8.45,8.7,8.38,8.5,8.200685,138400,361300000000,10896400000,31949777,0,0,0,0.0000000,0.239515,0.033,0.002,0.0294,1596.449951,56.24,59.79
20-08-2019,8.71,8.71,8.52,8.59,8.287516,53200,361300000000,10896400000,31949777,0,0,0,0.0000000,0.239739,0.033,0.002,0.0294,1602.75,56.18,59.03
21-08-2019,8.59,8.6,8.41,8.44,8.142797,43900,361300000000,10896400000,31949777,0,0,0,0.0000000,0.239343,0.033,0.002,0.03,1594.589966,55.65,60.6
22-08-2019,8.69,8.69,8.43,8.58,8.277867,42300,361300000000,10896400000,31949777,0,0,0,0.0000000,0.239664,0.033,0.002,0.0292,1602.469971,55.33,59.81
23-08-2019,8.5,8.65,8.5,8.51,8.210334,2900,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238914,0.033,0.002,0.03,1609.329956,54.08,58.64
26-08-2019,8.65,8.65,8.45,8.45,8.152446,10500,361300000000,10896400000,31949777,0,0,0,0.0000000,0.238663,0.033,0.002,0.0293,1600.530029,53.54,58.64
